Component,BDD_Refs,Checklist_Refs,Real_Data,Decision,Reason
Tabs,      11,       4,       0,KEEP,Found in BDD/checklist
Textarea,       0,       0,       0,CHECK,Needs manual review
Toast,       0,       0,       0,CHECK,Needs manual review
AlertsPanel,       0,       0,       1,KEEP,Uses real data
PerformanceMetrics,       0,       0,       1,KEEP,Uses real data
RealTimeDashboard,       0,       0,       1,KEEP,Uses real data
RealtimeMetrics,       0,       0,       1,KEEP,Uses real data
ComparisonView,       0,       0,       0,ARCHIVE,Demo/experimental
DemoMode,       0,       0,       1,KEEP,Uses real data
GuidedTour,       0,       0,       0,ARCHIVE,Demo/experimental
CareerDevelopmentPlanner,       0,       0,       0,CHECK,Needs manual review
CompetencyAssessmentCenter,       0,       0,       0,CHECK,Needs manual review
EmployeeOnboardingPortal,       0,       0,       0,CHECK,Needs manual review
PerformanceTracker,       0,       0,       0,CHECK,Needs manual review
SkillsMatrixManager,       0,       0,       0,CHECK,Needs manual review
TrainingProgramManager,       0,       0,       0,CHECK,Needs manual review
EmployeeProfile,       0,       0,       0,CHECK,Needs manual review
EmployeeProfileDemo,       0,       0,       0,ARCHIVE,Demo/experimental
EmployeeSearch,       0,       0,       0,CHECK,Needs manual review
EmployeeSearchDemo,       0,       0,       0,ARCHIVE,Demo/experimental
EmployeeProfile.test,       0,       0,       0,CHECK,Needs manual review
EmployeeSearch.test,       0,       0,       0,CHECK,Needs manual review
GrowthFactorDialog,       0,       0,       1,KEEP,Uses real data
ApiEndpointTester,       0,       0,       0,CHECK,Needs manual review
BusinessIntelligenceReports,       0,       0,       0,CHECK,Needs manual review
DataSyncDashboard,       0,       0,       1,KEEP,Uses real data
DatabaseQueryBuilder,       0,       0,       0,CHECK,Needs manual review
RealtimeDataMonitor,       0,       0,       1,KEEP,Uses real data
SystemHealthMonitor,       0,       0,       1,KEEP,Uses real data
MobileCalendarView,       0,       0,       0,CHECK,Needs manual review
MobileLogin,       0,       0,       1,KEEP,Uses real data
MobileNotifications,       0,       0,       0,CHECK,Needs manual review
MobileOfflineIndicator,       0,       0,       0,CHECK,Needs manual review
MobileProfile,       0,       0,       1,KEEP,Uses real data
MobileRequestForm,       0,       0,       0,CHECK,Needs manual review
MobileShiftExchange,       0,       0,       0,CHECK,Needs manual review
QueueManager,       0,       0,       1,KEEP,Uses real data
SkillMatrix,       0,       0,       1,KEEP,Uses real data
SkillOptimizer,       0,       0,       1,KEEP,Uses real data
AlertConfiguration,       0,       0,       1,KEEP,Uses real data
ExecutiveDashboard,       0,       0,       1,KEEP,Uses real data
IntegrationMonitor,       0,       0,       1,KEEP,Uses real data
RealtimeMetrics,       0,       0,       1,KEEP,Uses real data
SLAMonitor,       0,       0,       1,KEEP,Uses real data
TrendAnalysis,       0,       0,       1,KEEP,Uses real data
PendingRequestsList,       0,       0,       0,CHECK,Needs manual review
RequestApprovalButtons,       0,       0,       0,CHECK,Needs manual review
ROICalculator,       0,       0,       1,KEEP,Uses real data
AdvancedScheduleBuilder,       0,       0,       0,CHECK,Needs manual review
AutoSchedulingEngine,       0,       0,       0,CHECK,Needs manual review
ConflictResolutionCenter,       0,       0,       0,CHECK,Needs manual review
ScheduleComplianceChecker,       0,       0,       0,CHECK,Needs manual review
ScheduleOptimizer,       0,       0,       0,CHECK,Needs manual review
ScheduleTemplateLibrary,       0,       0,       0,CHECK,Needs manual review
ShiftPatternDesigner,       0,       0,       0,CHECK,Needs manual review
ExcelUploader,       0,       0,       0,CHECK,Needs manual review
WorkflowAutomation,       0,       0,       0,CHECK,Needs manual review
WorkflowIntegrations,       0,       0,       0,CHECK,Needs manual review
WorkflowOptimization,       0,       0,       1,KEEP,Uses real data
WorkflowReporting,       0,       0,       1,KEEP,Uses real data
WorkflowTemplates,       0,       0,       0,CHECK,Needs manual review
ApprovalQueue,       0,       0,       0,CHECK,Needs manual review
EscalationManager,       0,       0,       0,CHECK,Needs manual review
WorkflowDashboard,       0,       0,       0,CHECK,Needs manual review
WorkflowHistory,       0,       0,       0,CHECK,Needs manual review
WorkflowMetrics,       0,       0,       1,KEEP,Uses real data
WorkflowTracker,       0,       0,       0,CHECK,Needs manual review
