Component,BDD_Refs,Checklist_Refs,Real_Data,Decision,Reason
EmployeeProfile,       0,       0,       0,KEEP,Core WFM functionality
EmployeeProfileDemo,       0,       0,       0,ARCHIVE,Demo/experimental only
EmployeeProfile.test,       0,       0,       0,KEEP,Core WFM functionality
EmployeeSearch.test,       0,       0,       0,KEEP,Core WFM functionality
EmployeeSearchDemo,       0,       0,       0,ARCHIVE,Demo/experimental only
EmployeeSearch,       0,       0,       0,KEEP,Core WFM functionality
VacationSchemeConfigurator,       0,       0,       0,KEEP,Core WFM functionality
ExcelUploader,       0,       0,       0,KEEP,Core WFM functionality
VirtualizedScheduleGrid,       0,       0,       0,KEEP,Core WFM functionality
GridHeader,       0,       0,       0,KEEP,Core WFM functionality
GridShowcase,       0,       0,       0,KEEP,Core WFM functionality
DraggableShift,       0,       0,       0,KEEP,Core WFM functionality
ScheduleGrid,       0,       0,       0,KEEP,Core WFM functionality
GridCell,       0,       0,       0,KEEP,Core WFM functionality
ErrorBoundary,       0,       0,       0,KEEP,Core WFM functionality
